"CLI_NUM";"CLI_INTITULE";"CLI_SIRET";"CLI_IDENTIFIANT"
"AUTONERON";"AUTO NERON SARL";49500540700012;"FR68495005407  "
"PSP";"PSP TRANSPORTS";49299685500044;"FR52492996855  "
"SORETAL";"SORETAL";33818407000021;"FR25338184070"
"LANDALLY";"GARAGE LANDALLY";34771496600020;"FR23347714966  "
"BULOT";"GARAGE BULOT";49042142700017;"FR12490421427  "
"ACAR01";"ACARR";50124230900018;"FR56501242309  "
"ARCE01";"GARAGE ARC EN CIEL";39401654700017;"FR87394016547  "
"PLAI01";"PLAIDEUR";43429673700019;"FR94434296737  "
"TROU01";"GGE TROUDART";35208965000035;"FR72352089650  "
"GGEI01";"GGE IGNAM";49828485000019;"FR75498284850  "
"GGEM01";"GGE MODERNE";39867628800028;"FR58398676288  "
"BAST01";"GARAGE BASTE SARL";82146251200012;"FR19821462512  "
"DIND01";"DINDAR AUTOS SA";31087938200151;"FR36310879382  "
"TIDAS";"GGE TIDAS";35201017700017;"FR79352010177  "
"PRIN01";"PRINCE COLOR";48916422800012;"FR66489164228  "
"MULT01";"MULTI SERVICE AUTO";51311322500017;"FR30513113225  "
"UNIV01";"GGE UNIVERSEL";33272455800017;"FR36332724558  "
"TREB01";"TREBEAU GGE ";32628464300011;"FR72326284643  "
"MARS01";"MARSY";47996743200010;"FR67479967432  "
"COCO01";"COCOTTE";34809212300028;"FR86348092123  "
"TOPC01";"TOPCAR SOCAR";51999928800029;"FR32519999288  "
"BELA01";"BEL'AUTO";35228492100017;"FR05352284921  "
"SAFAR";"SAFAR";50969526800011;"FR29509695268  "
"TROPICAUT";"TROPIC AUTO";33482936300038;"FR42334829363  "
"CEB";"CEB ";37805021500045;"FR79378050215  "
"ZOROBABEL";"ZOROBABEL GARAGE";42245907300017;"FR63422459073 "
"CONFIAC";"CONFIAC";81126027200018;"FR00811260272  "
"RIVIERA";"STé NOUVELLE   RIVIERA AUTO";81015979800018;"FR70810159798  "
"TOPAUTO";"TOPAUTO MARTINIQUE";49056092700017;"FR54490560927  "
"LOCAUTO";"LOCAUTO";34105583800021;"FR80341055838  "
"THEG01";"THEGAT GARAGE";32565404400024;"FR66325654044  "
"RIBAC";"GARAGE RIBAC";38947087300016;"FR04389470873  "
"THEODORE";"THEODORE GARAGE";32948665800050;"FR13329486658  "
"TEKNIPRO";"TEKNIPRO CARAIBES";53343137500013;"FR68533431375  "
"AUTOCONCEPTDEVELO";"AUTO CONCEPT DEVELOPPEMENT";43392661500017;"FR87433926615  "
"INDUSTRIE";"INDUSTRIE GARAGE";39758421000017;"FR96397584210  "
"JAKAUTO";"JAKAUTO";48050132900019;"FR94480501329  "
"GENSOLIN";"GENSOLIN AUTO ( GARAGE )";42282583600014;"FR81422825836  "
